	English	Japanese	English Sentence	Japanese Example	listening score	speaking score
3850	electric power, electricity	でんりょく	This air conditioner doesn't use much electricity.	この えあこん は あまり <b>でんりょく</b> を つかいません	0	0
3851	electron, electronic	でんし	Electronic dictionaries are very useful.	<b>でんし</b> じしょ は とても べんり です	0	0
3852	cross@associate with, socialize	まじわる	Two national roads intersect here.@I learned a lot of things by socializing with people.	ふたつ の こくどう は ここ で <b>まじわります</b>@ひと と <b>まじわって</b> おおく の こと を まなびました	0	0
3853	fan, lover	ファン	He's a huge soccer fan.	かれ は だい の さっかー<b>ふぁん</b> です	0	0
3854	perspective, prospect	みとおし	There's no end in sight to my work.	しごと の <b>みとおし</b> が たたない	0	0
3855	pass, communicate with	つうじる	Do they speak English in that country?	その くに で は えいご は <b>つうじます</b> か	0	0
3856	let pass, run through	とおす	Please thread the needle.	はり に いと を <b>とおして</b> ください	0	0
3857	passage, traffic	つうこう	This is an impassable road.	この みち は <b>つうこう</b> できません	0	0
3858	do	なさる	Please line up here if you're applying.	おもうしこみ <b>なさる</b> の でしたら こちら に お ならび ください	0	0
3859	traffic	ひとどおり	A lot of people pass through here.	ここ は <b>ひとどおり</b> が はげしい ね	0	0
3860	briefly, once over	ひととおり	I glanced over the manual.	せつめいしょ を <b>ひととおり</b> よんだ の	0	0
3861	passage, alley	つうろ	There's a restroom on the right side of the corridor.	<b>つうろ</b> の みぎがわ に といれ が あります よ	0	0
3862	land, shore	りく	The sea turtles have come up to dry land.	うみがめ が <b>りく</b> に あがって きた ん だ	0	0
3863	above ground	ちじょう	This train runs on the surface.	この でんしゃ は <b>ちじょう</b> を はしります	0	0
3864	be collected	まとまる	Everyone's opinions were brought together.	みんな の いけん が <b>まとまりました</b>	0	0
3865	underpass, underground passage	ちかどう	Let's go through the underpass.	<b>ちかどう</b> を とおって いきましょう	0	0
3866	district, region	ちほう	The fishing industry is flourishing in this region.	この <b>ちほう</b> は ぎょぎょう が さかん です	0	0
3867	books	としょ	This is a children's book.	これ は じどう<b>としょ</b> です	0	0
3868	rule	ルール	The rules of this game are easy.	この げーむ の <b>るーる</b> は かんたん です	0	0
3869	other side	たほう	Let's think from the other point of view.	<b>たほう</b> の してん から も みて みましょう	0	0
3870	another person, stranger	たにん	I don't want to tell other people my address.	わたし は <b>たにん</b> に じゅうしょ を おしえたく ない	0	0
3871	suspension, stopping	ちゅうし	The athletic meet has been canceled due to the rain.	あめ で うんどうかい が <b>ちゅうし</b> に なった の	0	0
3872	road closed	つうこうどめ	I hear that that road is closed to traffic.	あの どうろ は <b>つうこうどめ</b> だ そう です	0	0
3873	look out over	みわたす	I looked over the meadow from the top of the hill.	おか の うえ から そうげん を <b>みわたした</b> の	0	0
3874	never again	にどと	I'll never come here again.	もう ここ に は <b>にどと</b> きません	0	0
3875	helicopter	ヘリコプター	There's a helicopter flying over the accident site.	じこ げんば の じょうくう を <b>へりこぷたー</b> が とんで います	0	0
3876	often	たびたび	I often get email from him.	かれ から <b>たびたび</b> めーる が きます	0	0
3877	on this occasion	このたび	Congratulations on your marriage.	<b>このたび</b> は ごけっこん おめでとう ございます	0	0
3878	every time, always	まいど	Thank you for your patronage.	<b>まいど</b> ありがとう ございます	0	0
3879	nearby, close at hand	まぢか	I saw a celebrity up close.	ゆうめいじん を <b>まぢか</b> で みた よ	0	0
3880	shortcut	ちかみち	This is a shortcut.	こっち が <b>ちかみち</b> です	0	0
3881	at least, at any rate	ともかく	At any rate, let's rethink this one more time.	<b>ともかく</b> いちど かんがえなおしましょう	0	0
3882	many years, long time	ながねん	He's an old friend of mine.	かれ は <b>ながねん</b> の ゆうじん です	0	0
3883	seniority	ねんちょう	He's the most senior in this group.	かれ が この ぐるーぷ で いちばん <b>ねんちょう</b> です	0	0
3884	for a long time	ながらく	I'm sorry to keep you waiting for such a long time.	<b>ながらく</b> お またせ しました 。	0	0
3885	long conversation, talk for a long time	ながばなし	My mother is having a long talk on the telephone.	はは が でんわ で <b>ながばなし</b> を して いる ん だ	0	0
3886	junior college	たんだい	My little sister graduated from junior college.	いもうと は <b>たんだい</b> を そつぎょう しました	0	0
3887	spread, unfold	ひろげる	Don't spread your newspaper wide open in the train.	でんしゃ の なか で は しんぶん を <b>ひろげない で</b>	0	0
3888	square, open space	ひろば	A lot of children had gathered in the plaza.	<b>ひろば</b> に こども が たくさん あつまって いた よ	0	0
3889	spread, be in general circulation	ひろまる	The rumor spread quickly.	その うわさ は すぐ に <b>ひろまった</b> よ	0	0
3890	spread, extend	ひろめる	Who spread the rumor?	だれ が うわさ を <b>ひろめた</b> ん だろう	0	0
3891	tunnel	トンネル	When we came out of the tunnel, we could see the sea.	<b>とんねる</b> を ぬける と うみ が みえた よ	0	0
3892	all one's might, full capacity	ぜんりょく	Run with all your might!	<b>ぜんりょく</b> で はしれ	0	0
3893	division, department	ぶもん	That singer took the prize in three categories.	あの かしゅ は 3 <b>ぶもん</b> で しょう を とった の	0	0
3894	head office, headquarters	ほんぶ	Immediately after the incident, investigation headquarters were set up.	その じけん の ちょくご そうさ <b>ほんぶ</b> が せっち された	0	0
3895	section chief, department head	ぶちょう	I consulted the manager about my job.	<b>ぶちょう</b> に しごと の そうだん を した ん だ	0	0
3896	interior, inner parts	ないぶ	This is a problem with the internal parts of the machine.	これ は きかい の <b>ないぶ</b> の もんだい です	0	0
3897	subordinate	ぶか	He has outstanding people working for him.	かれ は ゆうしゅう な <b>ぶか</b> を もって いる わ ね	0	0
3898	balance	バランス	We should eat well-balanced meals.	えいよう <b>ばらんす</b> の いい しょくじ を しよう	0	0
3899	most, greater part	だいぶぶん	A large portion of picture got wet.	え の <b>だいぶぶん</b> が みず に ぬれて しまった な	0	0
3900	world power, large country	たいこく	That country's an economic powerhouse.	その くに は けいざい <b>たいこく</b> よ	0	0
3901	entry into a country, immigration	にゅうこく	I entered Japan as an international student.	わたし は りゅうがくせい として にっぽん に <b>にゅうこく</b> しました	0	0
3902	one's native country	ほんごく	She returned to her native land.	かのじょ は <b>ほんごく</b> に かえりました	0	0
3903	paradise	てんごく	I want to go to heaven when I die.	しんだら <b>てんごく</b> に いきたい です	0	0
3904	by any means, really	どうしても	I really want to know about the circumstances.	<b>どうしても</b> その わけ を しりたい	0	0
3905	the world, society	よのなか	There are many different people in the world.	<b>よのなか</b> に は いろいろ な ひと が います	0	0
3906	Middle Ages	ちゅうせい	She likes medieval music.	かのじょ は <b>ちゅうせい</b> の おんがく が すき です	0	0
3907	clear, plain	めいはく	It's clear that he's the perpetrator.	かれ が はんにん な の は <b>めいはく</b> です	0	0
3908	railway	てつどう	The railway system in Japan is well developed.	にっぽん は <b>てつどう</b> が とても はったつ して います	0	0
3909	please	どうか	Please forgive me.	<b>どうか</b> おゆるし ください	0	0
3910	iron	てつ	This pot is made of iron.	この なべ は <b>てつ</b> で できて います	0	0
3911	body, flesh	にくたい	Our bodies must perish at some time or another.	<b>にくたい</b> は いつか ほろびます	0	0
3912	underground@price of land	ちか	The studio is in the basement.@The price of land in Tokyo keeps going up.	すたじお は <b>ちか</b> に あります@とうきょう の <b>ちか</b> は あがりつづけて いる ん だ	0	0
3913	nappa cabbage	はくさい	She likes pickled nappa cabbage.	かのじょ は <b>はくさい</b> の つけもの が すき です	0	0
3914	Japan and U.S.	にちべい	A Japan vs. U.S. baseball game is being shown on television.	てれび で <b>にちべい</b> やきゅう を やって います よ	0	0
3915	end of year	ねんまつ	The year-end sale is always crowded.	<b>ねんまつ</b> の せーる は いつも こんで いる ね	0	0
3916	pro, professional	プロ	He's a professional skater.	かれ は すけーと の <b>ぷろ</b> です	0	0
3917	charge, fee	りょうきん	But I haven't paid the charge yet.	まだ <b>りょうきん</b> は はらって いない けど	0	0
3918	understanding, comprehension	りかい	Thank you for understanding.	<b>りかい</b> して くれて ありがとう	0	0
3919	chance	チャンス	This is a wonderful chance.	これ は すばらしい <b>ちゃんす</b> だ	0	0
3920	taking apart	ぶんかい	I tried to take the machine apart.	きかい を <b>ぶんかい</b> して みた の	0	0
3921	powerful, influential	ゆうりょく	That city is a strong candidate to host the Olympics.	あの とし は おりんぴっく の <b>ゆうりょく</b> な こうほち です	0	0
3922	have, possess	ゆうする	Only qualified individuals may apply.	しかく を <b>ゆうする</b> ひと のみ おうぼ できます	0	0
3923	fee-charging, pay	ゆうりょう	This is a pay toilet.	この といれ は <b>ゆうりょう</b> です	0	0
3924	for some reason, somehow	どうも	I don't feel very well today for some reason.	きょう は <b>どうも</b> からだ の ちょうし が わるい	0	0
3925	no charge, free	むりょう	Beverages are free of charge.	お のみもの は <b>むりょう</b> で ございます	0	0
3926	safely, peacefully	ぶじ	I arrived home safely.	<b>ぶじ</b> いえ に つきました	0	0
3927	not speaking much, reticence	むくち	She's a silent person.	かのじょ は <b>むくち</b> な ひと です ね	0	0
3928	soon, in a short time	まもなく	That airplane will land soon.	あの ひこうき は <b>まもなく</b> ちゃくりく します ね	0	0
3929	silence, muteness	むごん	He was silent all day long.	かれ は いちにちじゅう <b>むごん</b> だった な	0	0
3930	hard	ハード	Recently, my work is pretty hard.	さいきん しごと が かなり <b>はーど</b> です	0	0
3931	reckless, excessive	むちゃ	Don't be unreasonable.	<b>むちゃ</b> を しない で ください ね	0	0
3932	by force, against one's will	むりやり	I forced my belongings into the bag.	にもつ を <b>むりやり</b> かばん に つめた よ	0	0
3933	make up, build up	つくりあげる	It's a story that she made up.	それ は かのじょ が <b>つくりあげた</b> はなし です	0	0
3934	fable, fiction	つくりばなし	What that kid said is a made-up story.	その こ が いって いる こと は <b>つくりばなし</b> です	0	0
3935	ambassador	たいし	He was ambassador to Germany a long time ago.	かれ は むかし どいつ の <b>たいし</b> でした	0	0
3936	minus, below zero	マイナス	The temperature outside is minus three degrees.	そと の おんど は <b>まいなす</b> 3 ど です	0	0
3937	sky, Heaven@point, issue	てん	A welcome rain fell from the skies.@There's nothing to worry about regarding that.	<b>てん</b> から めぐみ の あめ が ふった ね@その <b>てん</b> は しんぱい ありません	0	0
3938	use, application	つかいみち	I'm just thinking about how to use my bonus.	ぼーなす の <b>つかいみち</b> を かんがえて いる ところ です	0	0
3939	errand	つかい	I'm about to go to city hall on an errand for my husband.	しゅじん の <b>つかい</b> で しやくしょ に いく ところ です	0	0
3940	useless, unnecessary	むよう	There's no need to worry.	しんぱい は <b>むよう</b> です	0	0
3941	expenses	ひよう	The cost of the trip to Italy is 300,000 yen.	いたりあ りょこう の <b>ひよう</b> は 30 まんえん です	0	0
3942	in any case, anyway	とにかく	Anyway, let's go to the site.	<b>とにかく</b> げんば へ いって みましょう	0	0
3943	expend, waste	ついやす	I have spent considerable time on language study.	わたし は ごがく の べんきょう に かなり の じかん を <b>ついやして います</b>	0	0
3944	sale	やすうり	Vegetables were on special at that store.	あの みせ で やさい の <b>やすうり</b> を して いました よ	0	0
3945	buying and selling, trade	ばいばい	He buys and sells real estate.	かれ は ふどうさん の <b>ばいばい</b> を して います	0	0
3946	shop closing	へいてん	This shop closes at eight o'clock.	この みせ は 8 じ に <b>へいてん</b> します	0	0
3947	head office	ほんてん	This is the headquarters of the chain.	ここ は ちぇーんてん の <b>ほんてん</b> です	0	0
3948	pipe	パイプ	This pipe is blocked.	この <b>ぱいぷ</b> は つまって います よ	0	0
3949	parts, accessories	ぶひん	I changed some parts of the car.	くるま の <b>ぶひん</b> を とりかえた ん だ	0	0
3950	groceries, daily necessities	にちようひん	I did grocery shopping today.	きょう は <b>にちようひん</b> の かいもの を した	0	0
3951	step, grade	だん	There are 18 steps in this staircase.	この かい<b>だん</b> は 18 だん あります ね	0	0
3952	price rise	ねあがり	The price of vegetables is going up.	やさい が <b>ねあがり</b> して います ね	0	0
3953	price hike	ねあげ	Bus fares were raised.	ばすだい が <b>ねあげ</b> されました	0	0
3954	fall in price	ねさがり	The price of gasoline has gone down.	がそりん が <b>ねさがり</b> しました	0	0
3955	in a moment, instantly	たちまち	The sky suddenly clouded over.	そら が <b>たちまち</b> くもって きた ね	0	0
3956	price reduction	ねさげ	My phone charge was reduced.	でんわ りょうきん が <b>ねさげ</b> された	0	0
3957	physique, build	たいかく	He has a very nice body.	かれ は とても <b>たいかく</b> が いい わ	0	0
3958	winter season	とうき	The next Winter Olympics will be in two years.	つぎ の <b>とうき</b> おりんぴっく は 2 ねんご です	0	0
3959	heat, become hot	ねっする	Iron bends if you heat it.	てつ は <b>ねっする</b> と まがる ん だ	0	0
3960	plus, advantage	プラス	This experience will be a good thing for you.	この けいけん は あなた に とって <b>ぷらす</b> に なる でしょう	0	0
3961	low temperature	ていおん	Please store this product at a low temperature.	この せいひん は <b>ていおん</b> で ほぞん して ください	0	0
3962	body temperature	たいおん	My temperature this morning was 36 degrees.	けさ の <b>たいおん</b> は 36 ど でした	0	0
3963	friendship	ゆうじょう	They're tied by a strong friendship.	かれら は つよい <b>ゆうじょう</b> で むすばれて いる な	0	0
3964	human feelings, humanity	にんじょう	The people in this town have humanity.	この まち の ひとたち に は <b>にんじょう</b> が ある ね	0	0
3965	pitiful, shameful	なさけない	It's pretty sad you don't even know something like that.	こんな こと も しらない と は <b>なさけない</b>	0	0
3966	the lead, take a lead	リード	He led her in the dance.	かれ は かのじょ を <b>りーど</b> しながら おどった ね	0	0
3967	news, report	ほうどう	The typhoon was also reported on television during the night.	よなか も てれび で たいふう の <b>ほうどう</b> を して いた	0	0
3968	telegram	でんぽう	A telegram came from my mother at home.	じっか の はは から <b>でんぽう</b> が きました	0	0
3969	secondhand goods	ちゅうこ	I bought that car second hand.	その くるま は <b>ちゅうこ</b> で かった ん だ	0	0
3970	secondhand book	ふるほん	I bought three secondhand books the day before yesterday.	おととい <b>ふるほん</b> を 3 さつ かいました	0	0
3971	old times, the old days	むかし	He used to be poor.	かれ は <b>むかし</b> は びんぼう だった	0	0
3972	slander, abuse	わるくち	He never speaks ill of people.	かれ は けっして ひと の <b>わるくち</b> を いわない の	0	0
3973	enthusiasm, zeal	ねっしん	She studied hard for four years.	かのじょ は 4 ねんかん <b>ねっしん</b> に べんきょう した わ	0	0
3974	back of one's mind, one's real intention	ないしん	Inside, her heart was pounding.	かのじょ は <b>ないしん</b> どきどき して いました よ	0	0
3975	care, caution	ようじん	Be careful when walking at night.	よみち は <b>ようじん</b> して あるきましょう	0	0
3976	year-end party	ぼうねんかい	The company will have a year-end party tomorrow.	あした は かいしゃ の <b>ぼうねんかい</b> が あります	0	0
3977	as...as possible, if possible	なるべく	Please complete your work as early as possible.	<b>なるべく</b> はやく しごと を おわらせて ください	0	0
3978	memory lapse, mental block	どわすれ	His name has completely slipped from my memory.	かれ の なまえ を <b>どわすれ</b> した ぞ	0	0
3979	governor	ちじ	He's a capable governor.	かれ は ゆうのう な <b>ちじ</b> ね	0	0
3980	notification	つうち	I'll notify you of the details tomorrow.	あす、 しょうさい を <b>つうち</b> します	0	0
3981	ignorance	むち	She was ignorant about politics.	かのじょ は せいじ に ついて <b>むち</b> でした	0	0
3982	the theme, the subject	テーマ	What's the subject of the lecture?	こうえん の <b>てーま</b> は なん です か	0	0
3983	acquaintance, friend	ちじん	He's an old acquaintance.	かれ は むかし から の <b>ちじん</b> です	0	0
3984	instinct	ほんのう	Animals act purely on instinct.	どうぶつ は <b>ほんのう</b> の まま うごく ね	0	0
3985	able, competent	ゆうのう	She's a very capable subordinate.	かのじょ は とても <b>ゆうのう</b> な ぶか です	0	0
3986	intelligence, mental capacity	ちのう	Apparently, that child is highly intelligent.	あの こ の <b>ちのう</b> は とても たかい そう です	0	0
3987	inefficiency, incompetence	むのう	He's incapable.	かれ は <b>むのう</b> だ	0	0
3988	mood	ムード	I darkened the room to set the mood.	へや を くらく して <b>むーど</b> を だして みた よ	0	0
3989	uneasiness, anxiety	ふあん	I'm a bit worried since I have to go to the hospital for tests tomorrow.	あす びょういん に けんさ に いく の で すこし <b>ふあん</b> です	0	0
3990	dissatisfaction, discontent	ふまん	I'm dissatisfied with his way of doing things.	わたし は かれ の やりかた に は <b>ふまん</b> です	0	0
3991	insufficiency, lack	ふそく	There's a severe drought this year.	ことし は ひどい みず<b>ぶそく</b> よ	0	0
3992	impossible	ふかのう	It's impossible to finish up the report in a day.	れぽーと を 1 にち で しあげる の は <b>ふかのう</b> です	0	0
3993	insufficiency, lack	ふじゅうぶん	That amount of effort is insufficient.	その ていど の どりょく で は <b>ふじゅうぶん</b> です	0	0
3994	bill, paper money	さつ	He took a bundle of cash out of his bag.	かれ は かばん から <b>さつ</b> の たば を とりだした ん だ 。	0	0
3995	sign, billboard	ふだ	"The """"open for business"""" sign is still posted outside the store."	みせ の そと に まだ えいぎょう ちゅう の <b>ふだ</b> が でている よ	0	0
3996	unknown	ふめい	The cause of this illness is said to be unknown.	その びょうき は げんいん <b>ふめい</b> と いわれている ん だ よ	0	0
3997	bad, defective	ふりょう	I returned the defective product.	<b>ふりょう</b>ひん を へんぴん した よ	0	0
3998	failure, disqualification	ふごうかく	To our regret, he failed the examination.	ざんねん ながら しけん は <b>ふごうかく</b> でした	0	0
3999	market	マーケット	He has broken into the Italian market.	かれ は いたりあ の <b>まーけっと</b> を かいたく しました	0	0
4000	falling, lowering@fixed price	ていか	Recently, education levels are decreasing.@The regular price of this book is 525 yen.	さいきん きょういく れべる が <b>ていか</b> して います@この ほん の <b>ていか</b> は 525 えん です	0	0
4001	news, correspondence	たより	I get a letter from my mother once a month.	つき に いちど はは から <b>たより</b> が きます	0	0
4002	stool, feces	だいべん	I had a stool examination at the hospital.	びょういん で <b>だいべん</b> の けんさ を した	0	0
4003	strong point, merit	ちょうしょ	Your strong point is your cheerfulness.	きみ の <b>ちょうしょ</b> は あかるい ところ だ ね	0	0
4004	fashion	ファッション	She's a fashion expert.	かのじょ は <b>ふぁっしょん</b> の せんもんか だ	0	0
4005	shortcoming, defect	たんしょ	His weak point is that he gives up too easily.	すぐ に あきらめて しまう の が かれ の <b>たんしょ</b> です	0	0
4006	here and there, at places	ところどころ	The pages are torn here and there in this book.	この ほん は ぺーじ が <b>ところどころ</b> やぶれて いる ね	0	0
4007	name, reputation	な	He found employment in a well-known company.	かれ は <b>な</b> の とおった かいしゃ に しゅうしょく しました	0	0
4008	master, master hand	めいじん	He's an expert angler.	かれ は つり の <b>めいじん</b> です	0	0
4009	place name	ちめい	I have never heard of that place.	その <b>ちめい</b> は きいた こと が ない なあ	0	0
4010	noted place, sights	めいしょ	This place is well-known for cherry blossoms.	ここ は さくら の <b>めいしょ</b> です	0	0
4011	brake	ブレーキ	I stepped on the brake at the red light.	あかしんごう で <b>ぶれーき</b> を ふんだ の	0	0
4012	outskirts of a town	まちはずれ	She's working in a factory on the outskirts of town.	かのじょ は <b>まちはずれ</b> の こうじょう で はたらいて いる よ	0	0
4013	the downtown area, the central area of a town	まちなか	I met her downtown.	<b>まちなか</b> で かのじょ に であった よ	0	0
4014	village, hamlet	むら	I come from the next village over.	わたし は となり の <b>むら</b> から きました	0	0
4015	in the metropolitan area of Tokyo	とない	His office is in the Tokyo metropolitan area.	かれ の しょくば は <b>とない</b> に あります	0	0
4016	heart of a city	としん	He lives downtown.	かれ は <b>としん</b> に すんで います	0	0
4017	mistake	ミス	Everyone makes mistakes.	<b>みす</b> は だれ に で も あります	0	0
4018	city, town	とかい	He's enjoying city life.	かれ は <b>とかい</b> で の せいかつ を たのしんで いる の	0	0
4019	capital, city	みやこ	Milan is the capital of fashion.	みらの は ふぁっしょん の <b>みやこ</b> です	0	0
4020	appearance, aspect	ようす	I'm going to see how she's doing.	かのじょ の <b>ようす</b> を みて きます	0	0
4021	prices	ぶっか	Prices in this country have gone up considerably these last ten years.	この くに の <b>ぶっか</b> は ここ 10 ねん で だいぶ あがった ね	0	0
4022	sailboat, yacht	ヨット	I enjoyed cruising on the yacht.	<b>よっと</b> で くるーじんぐ を たのしみました わ	0	0
4023	object, physical body	ぶったい	A mysterious object is flying in the sky.	なぞ の <b>ぶったい</b> が そら を とんで います	0	0
4024	real thing, genuine article	ほんもの	This is a real diamond.	これ は <b>ほんもの</b> の だいやもんど です	0	0
4025	physics, natural law	ぶつり	He majors in physics.	かれ は <b>ぶつり</b> を せんこう して いる	0	0
4026	things, everything	ものごと	He always thinks deeply about things.	かれ は いつも <b>ものごと</b> を ふかく かんがえる の	0	0
4027	specialty, noted product	めいぶつ	This town is well-known for its grapes.	この まち の <b>めいぶつ</b> は ぶどう です	0	0
4028	knowledgeable person, know-it-all	ものしり	That old person is very knowledgeable.	あの ろうじん は とても <b>ものしり</b> だ ね	0	0
4029	memory	ものおぼえ	She learns things quickly.	かのじょ は <b>ものおぼえ</b> が いい	0	0
4030	body weight	たいじゅう	I weigh myself every morning.	わたし は まいあさ <b>たいじゅう</b> を はかって います	0	0
4031	easy, light	てがる	Please teach me some easy-to-do dishes.	<b>てがる</b> に つくれる りょうり を おしえて ください	0	0
4032	large quantity, great deal	たりょう	A large amount of gas leaked because of the accident.	その じこ で <b>たりょう</b> の がすもれ が あった ね	0	0
4033	rock (music)	ロック	I like to listen to rock.	おれ は <b>ろっく</b> を きく の が すき だ	0	0
4034	large quantity, great volume	たいりょう	A large amount of garbage was put out yesterday.	きのう <b>たいりょう</b> の ごみ が でた の	0	0
4035	age, elderly age	ねんぱい	I gave up my seat to an elderly person.	<b>ねんぱい</b> の ひと に せき を ゆずりました	0	0
4036	money transfer, remittance	そうきん	I completed the money transfer to our client.	とりひきさき へ の <b>そうきん</b> を すませました	0	0
4037	mailing	ゆうそう	Please mail the documents.	しょるい を <b>ゆうそう</b> して ください	0	0
4038	go to a lot of trouble	わざわざ	Thank you for coming all the way here.	<b>わざわざ</b> きて くれて ありがとう	0	0
4039	take up, confiscate	とりあげる	The lighter was taken from the child because it was dangerous.	あぶない の で こども から らいたー を <b>とりあげました</b>	0	0
4040	take in, adopt	とりいれる	He's quick to adopt new ideas.	かれ は あたらしい あいであ を すぐ <b>とりいれます</b>	0	0
4041	decision, agreement	とりきめ	This is a decision between companies.	これ は かいしゃかん の <b>とりきめ</b> です	0	0
4042	cancel, nullify	とりけす	I canceled our hotel reservation.	ほてる の よやく を <b>とりけした</b> よ	0	0
4043	short-term@short temper	たんき	For two weeks starting tomorrow, I'm doing a short stint as a part-time worker.@He's a short-tempered person.	あした から 2 しゅうかん <b>たんき</b> の あるばいと を します@かれ は <b>たんき</b> な ひと です	0	0
4044	cancellation, annulment	とりけし	He had his driver's license revoked.	かれ は めんきょ <b>とりけし</b> の しょぶん を うけた よ	0	0
4045	pilot	パイロット	He's a pilot.	かれ は <b>ぱいろっと</b> です	0	0
4046	take out, pull out	とりだす	He took his wallet out of his pocket.	かれ は ぽけっと から さいふ を <b>とりだした</b> の	0	0
4047	be caused by@be caused by, be due to@night (from sunset to sunrise)@stop by, stop off	よる	You can't judge people by their appearance.@His sickness is caused by overwork.@I was at home last night.@I dropped in at my aunt's house on the way home.	ひと は みかけ に <b>よらない</b> な@かれ の びょうき は かろう に <b>よる</b> もの です@きのう の <b>よる</b> は いえ に いました@かえり に おば の いえ に <b>よります</b>	0	0
4048	report, delivery	とどけ	I submitted the change of address notification to the post office.	ゆうびんきょく に ひっこし の <b>とどけ</b> を だした よ	0	0
4049	waiting, rendez-vous	まちあわせ	Tomorrow we'll meet at 11 o'clock.	あす の <b>まちあわせ</b> は 11 じ です	0	0
4050	just can't wait for, long for	まちどおしい	I can't wait for the entrance ceremony.	にゅうがくしき が <b>まちどおしい</b> です	0	0
4051	wait for, meet by appointment	まちあわせる	I met him in Shinjuku.	かれ と しんじゅく で <b>まちあわせました</b>	0	0
4052	seems, looks like	どうやら	It looks like it's going to rain tomorrow.	あした は <b>どうやら</b> あめ らしい よ	0	0
4053	one's property, one's baggage	もちもの	Please write your name on your belongings.	<b>もちもの</b> に は なまえ を かいて ください	0	0
4054	endurance, lasting long	ながもち	I've had this coat for a long time.	この こーと は <b>ながもち</b> して いる	0	0
4055	value, worth	ねうち	This painting is very valuable.	この え は とても <b>ねうち</b> が あります	0	0
4056	public office	やくしょ	I went to get a resident's card at the public office.	<b>やくしょ</b> で じゅうみんひょう を もらって きた	0	0
4057	suddenly, unexpectedly	ふと	I suddenly remembered the past.	<b>ふと</b> むかし の こと を おもいだした ん だ	0	0
4058	government official	やくにん	My uncle worked as a government official for 30 years.	おじ は <b>やくにん</b> と して 30 ねん はたらきました	0	0
4059	duty, role	やくめ	I completed the duties without incident.	わたし は ぶじ に <b>やくめ</b> を おえた よ	0	0
4060	grow, spring up	はえる	My son has a new tooth coming in.	むすこ に あたらしい は が <b>はえました</b>	0	0
4061	long life, longevity	ながいき	People in this village live a long life.	この むら の ひとたち は <b>ながいき</b> です	0	0
4062	veteran	ベテラン	He's an experienced driver.	かれ は <b>べてらん</b> の うんてんしゅ です	0	0
4063	grow, cultivate	はやす	He's growing a beard.	かれ は ひげ を <b>はやして います</b>	0	0
4064	inanimate object	むせいぶつ	Rocks are classified as inanimate matter.	いわ は <b>むせいぶつ</b> に ぶんるい される	0	0
4065	arise, occur	しょうずる	An unexpected problem arose.	そうてい がい の もんだい が <b>しょうじた</b> の。	0	0
4066	male, man	だんせい	He's a wonderful man.	かれ は すてき な <b>だんせい</b> です	0	0
4067	reason, reasoning power	りせい	Human beings are rational animals.	にんげん は <b>りせい</b> を もつ どうぶつ です	0	0
4068	bonus	ボーナス	A lot of bonuses were paid this year.	ことし は <b>ぼーなす</b> が たくさん でました 。	0	0
4069	souvenir	みやげ	I was given sake as a souvenir.	<b>みやげ</b> に にほんしゅ を もらった	0	0
4070	walking, going on foot	とほ	It's 3 minutes on foot from home to the station.	いえ から えき まで <b>とほ</b> 3 ぷん です	0	0
4071	learn, study	まなぶ	I study philosophy.	わたし は てつがく を <b>まなんで います</b>	0	0
4072	literature	ぶんがく	She's interested in literature.	かのじょ は <b>ぶんがく</b> に きょうみ を もっている の よ 。	0	0
4073	physical training, physical education	たいいく	There's a PE lesson today.	きょう は <b>たいいく</b> の じゅぎょう が あります	0	0
4074	identical, look alike	そっくり	That parent and child look alike.	あの おやこ は <b>そっくり</b> だ ね	0	0
4075	become strong, gain strength	つよまる	The rain has been gradually getting stronger.	あめ は だんだん <b>つよまります</b>	0	0
4076	strengthen, emphasize	つよめる	Please turn the heat up.	ひ を <b>つよめて</b> ください	0	0
4077	powerful, vigorous	ちからづよい	He's a powerful actor.	かれ は <b>ちからづよい</b> えんぎ を する ね	0	0
4078	tough, bullish	つよき	She's a tough woman.	かのじょ は <b>つよき</b> な じょせい です ね	0	0
4079	lens	レンズ	I had the lenses in my glasses changed.	めがね の <b>れんず</b> を かえました	0	0
4080	weaken, abate	よわまる	The wind dropped at night.	よる に なって かぜ が <b>よわまった</b> ね	0	0
4081	weaken, lower	よわめる	Please turn down the heat.	ひ を <b>よわめて</b> ください	0	0
4082	weaken, be debilitated	よわる	He has been getting weaker due to his illness.	かれ は びょうき で <b>よわって いる</b> ん だ	0	0
4083	weakness, shortcoming	よわみ	He's got dirt on me.	かれ は わたし の <b>よわみ</b> を にぎって いる ん だ	0	0
4084	timid, weak-spirited	よわき	He's getting a little timid.	かれ は すこし <b>よわき</b> に なって います	0	0
4085	undertake	ひきうける	I accepted the new job.	あたらしい しごと を <b>ひきうけた</b> よ	0	0
4086	pace	ペース	He's running at a very fast pace.	かれ は とても はやい <b>ぺーす</b> で はしって いる ね	0	0
4087	well up@frame, limits@boil, be excited	わく	I felt courage well up within me after my friends' encouragement.@Please write the answer in the box.@The bath is ready.	ともだち に はげまされて ゆうき が <b>わいた</b> よ@<b>わく</b> の なか に こたえ を かいて ください@お ふろ が <b>わきました</b>。	0	0
4088	pull up, salvage	ひきあげる	The sunken ship was salvaged.	しずんだ ふね を <b>ひきあげた</b> ん だ	0	0
